dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec),batch size,steps
33,0,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.924129367,0.92351267,171.936677,2048,600
33,1,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.715848458,0.707457193,177.2081511,2048,600
34,0,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.915779625,0.91038907,171.1521189,2048,600
34,1,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.723995885,0.727848699,173.717581,2048,600
35,0,wgEncodeAwgTfbsSydhK562Gtf2bUniPk,0.752137359,0.742735267,171.4286621,2048,600
36,0,wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk,0.758265323,0.757849778,173.5720751,2048,600
37,0,wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk,0.82913695,0.833454776,172.292253,2048,600
38,0,wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,0.772222047,0.759395266,172.1172898,2048,600
40,0,wgEncodeAwgTfbsSydhK562Hmgn3UniPk,0.803773877,0.785957059,173.3110929,2048,600
41,0,wgEncodeAwgTfbsSydhK562CjunUniPk,0.955469373,0.948055295,173.1386631,2048,600
41,1,wgEncodeAwgTfbsSydhK562CjunUniPk,0.769217926,0.745753378,174.1892929,2048,600
42,0,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,0.91062985,0.894652108,175.4345288,2048,600
42,1,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,0.740085441,0.714538888,184.372577,2048,600
43,0,wgEncodeAwgTfbsUchicagoK562EjundUniPk,0.886230411,0.870989163,181.8317711,2048,600
43,1,wgEncodeAwgTfbsUchicagoK562EjundUniPk,0.717329212,0.712358257,195.8360579,2048,600
44,0,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,0.888653927,0.874420394,188.373451,2048,600
44,1,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,0.738661522,0.735161671,199.6964478,2048,600
45,0,wgEncodeAwgTfbsSydhK562Kap1UcdUniPk,0.771070324,0.744452033,177.7353449,2048,600
46,0,wgEncodeAwgTfbsBroadK562Plu1UniPk,0.803289405,0.800201004,181.6888161,2048,600
47,0,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,0.952091963,0.941102824,186.1242888,2048,600
47,1,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,0.739773559,0.677634269,197.508095,2048,600
